time,x,y,z
694.0,-2183107.0598609606,5313085.716978318,3766002.97017787
696.0,-2179951.052568261,5305326.365950771,3778725.8547871443
698.0,-2176784.3263735143,5297540.929386026,3791430.107920701
700.0,-2173606.896940826,5289729.445794498,3804115.6671013385
702.0,-2170418.779986871,5281891.953814506,3816782.469945487
704.0,-2167219.9912808076,5274028.492212076,3829430.454163513
706.0,-2164010.546644199,5266139.099880738,3842059.5575600234
708.0,-2160790.4619509294,5258223.815841325,3854669.718034169
710.0,-2157559.7531271214,5250282.679241766,3867260.873579949
712.0,-2154318.4361510547,5242315.7293568915,3879832.962286513
714.0000000000001,-2151066.5270530838,5234323.00558822,3892385.922338463
716.0,-2147804.0419155527,5226304.547463761,3904919.692016155
718.0,-2144530.9968727133,5218260.394637803,3917434.209696002
720.0,-2141247.408110642,5210190.586890714,3929929.413850771
722.0000000000001,-2137953.291867154,5202095.164128732,3942405.243049886
723.9999999999999,-2134648.664431723,5193974.166383757,3954861.635959728
726.0,-2131333.542145391,5185827.633813147,3967298.5313439313
728.0,-2128007.941400691,5177655.606699509,3979715.8680636836
730.0,-2124671.8786415556,5169458.125450485,3992113.5850780234
731.9999999999999,-2121325.3703632364,5161235.230598551,4004491.6214441378
734.0,-2117968.4331122157,5152986.962800802,4016849.916317659
736.0,-2114601.083486124,5144713.36283874,4029188.4089529603
738.0,-2111223.3381336518,5136414.471618069,4041507.0387034523
739.9999999999999,-2107835.213754464,5128090.330168477,4053805.745021878
742.0,-2104436.7270991146,5119740.979643427,4066084.467460606
744.0,-2101027.894968959,5111366.461319944,4078343.1456719264
746.0,-2097608.7342160675,5102966.8165984,4090581.719408344
748.0000000000001,-2094179.2617431395,5094542.087002301,4102800.12852287
750.0,-2090739.4945034147,5086092.314178074,4114998.312969315
752.0,-2087289.4495005861,5077617.539894848,4127176.21280258
754.0,-2083829.1437887123,5069117.8060442405,4139333.76817895
756.0000000000001,-2080358.5944721298,5060593.154640142,4151470.919356382
758.0,-2076877.818705364,5052043.627818495,4163587.6066947957
760.0,-2073386.8336930417,5043469.267837083,4175683.770656363
762.0,-2069885.6566898013,5034870.117075306,4187759.351805799
764.0000000000001,-2066374.3050002046,5026246.218033967,4199814.290810648
766.0,-2062852.7959786474,5017597.613335045,4211848.528441571
768.0,-2059321.1470292702,5008924.345721486,4223862.005572634
770.0,-2055779.375605868,5000226.458056973,4235854.663181594
772.0000000000001,-2052227.4992118008,4991503.993325711,4247826.442350186
773.9999999999999,-2048665.5353999035,4982756.994632201,4259777.28426441
776.0,-2045093.501772395,4973985.505201021,4271707.13021481
778.0,-2041511.4159807886,4965189.568376603,4283615.921596765
780.0,-2037919.2957257994,4956369.227623007,4295503.599910767
781.9999999999999,-2034317.1587572547,4947524.526523703,4307370.10676271
784.0,-2030705.0228740026,4938655.508781338,4319215.383864168
786.0,-2027082.9059238187,4929762.218217519,4331039.373032678
788.0,-2023450.8258033167,4920844.698772582,4342842.016192022
789.9999999999999,-2019808.8004578543,4911902.994505369,4354623.255372509
792.0,-2016156.8478814422,4902937.149593,4366383.032711253
794.0,-2012494.9861166505,4893947.208330647,4378121.290452451
796.0,-2008823.2332545174,4884933.215131304,4389837.970947669
798.0000000000001,-2005141.6074344548,4875895.214525561,4401533.016656111
800.0,-2001450.1268441556,4866833.251161372,4413206.370144904
802.0,-1997748.8097195001,4857747.369803832,4424857.974089371
804.0,-1994037.6743444628,4848637.615334937,4436487.771273312
806.0000000000001,-1990316.7390510177,4839504.032753364,4448095.704589277
808.0,-1986586.0222190446,4830346.667174231,4459681.717038837
810.0,-1982845.542276235,4821165.5638288725,4471245.751732869
812.0,-1979095.317697997,4811960.768064602,4482787.751891822
814.0000000000001,-1975335.3670073599,4802732.325344482,4494307.660845992
815.9999999999999,-1971565.7087748805,4793480.281247091,4505805.4220358
818.0,-1967786.3616185472,4784204.681466286,4517280.979012056
820.0,-1963997.344203684,4774905.571810975,4528734.275436237
822.0,-1960198.675242855,4765582.998204874,4540165.255080756
823.9999999999999,-1956390.373495769,4756237.006686278,4551573.861829232
